Date,Open,High,Low,Close,Adj Close,Volume,Code
2019-06-24,390.0,390.0,384.0,386.0,386.0,8362200,CLEO
2019-06-25,386.0,388.0,382.0,388.0,388.0,8276600,CLEO
2019-06-26,388.0,388.0,384.0,388.0,388.0,7526800,CLEO
2019-06-27,388.0,388.0,384.0,388.0,388.0,6909100,CLEO
2019-06-28,388.0,388.0,384.0,388.0,388.0,4518100,CLEO
2019-07-01,388.0,394.0,386.0,392.0,392.0,9862900,CLEO
2019-07-02,392.0,412.0,390.0,412.0,412.0,21059600,CLEO
2019-07-03,414.0,428.0,412.0,420.0,420.0,24138000,CLEO
2019-07-04,420.0,424.0,412.0,418.0,418.0,11419000,CLEO
2019-07-05,418.0,424.0,418.0,424.0,424.0,9284000,CLEO
2019-07-08,424.0,424.0,416.0,420.0,420.0,11699000,CLEO
2019-07-09,420.0,424.0,418.0,418.0,418.0,9828300,CLEO
2019-07-10,418.0,418.0,414.0,418.0,418.0,8786800,CLEO
2019-07-11,418.0,418.0,414.0,418.0,418.0,9824400,CLEO
2019-07-12,418.0,418.0,414.0,414.0,414.0,7511100,CLEO
2019-07-15,414.0,442.0,414.0,442.0,442.0,29176300,CLEO
2019-07-16,444.0,446.0,434.0,438.0,438.0,15953200,CLEO
2019-07-17,438.0,440.0,434.0,436.0,436.0,10527400,CLEO
2019-07-18,436.0,438.0,434.0,436.0,436.0,8528400,CLEO
2019-07-19,438.0,442.0,434.0,440.0,440.0,14679200,CLEO
2019-07-22,440.0,454.0,438.0,448.0,448.0,21037900,CLEO
2019-07-23,448.0,450.0,444.0,448.0,448.0,11142200,CLEO
2019-07-24,448.0,482.0,446.0,482.0,482.0,39825400,CLEO
2019-07-25,484.0,486.0,472.0,478.0,478.0,20809200,CLEO
2019-07-26,478.0,478.0,470.0,476.0,476.0,11374900,CLEO
2019-07-29,476.0,510.0,474.0,500.0,500.0,33959600,CLEO
2019-07-30,505.0,525.0,500.0,515.0,515.0,18371900,CLEO
2019-07-31,515.0,540.0,515.0,525.0,525.0,22603200,CLEO
2019-08-01,525.0,530.0,510.0,510.0,510.0,17067100,CLEO
2019-08-02,510.0,525.0,500.0,515.0,515.0,20070200,CLEO
2019-08-05,520.0,520.0,510.0,510.0,510.0,14393600,CLEO
2019-08-06,510.0,510.0,480.0,505.0,505.0,28430100,CLEO
2019-08-07,505.0,540.0,500.0,525.0,525.0,25556300,CLEO
2019-08-08,530.0,555.0,530.0,545.0,545.0,28769400,CLEO
2019-08-09,550.0,565.0,545.0,545.0,545.0,20186500,CLEO
2019-08-12,545.0,550.0,530.0,535.0,535.0,13718300,CLEO
2019-08-13,535.0,540.0,520.0,535.0,535.0,14008100,CLEO
